mode,name,Shape,Dtype,Dtype range,Actual range,Mean,Median,Laplace std,Otsu threshold,Pixels above otsu,Pixels below otsu,Percentage above otsu
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile5.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 2417)",19.96125725,0.0,0.0005323464458890432,259.638671875,151997,3848003,3.799925
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile50.tif","(2000, 2000)",uint16,"(0, 65535)","(234, 3030)",512.03315625,490.0,0.0021120008060072706,621.7265625,386501,3613499,9.662524999999999
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile51.tif","(2000, 2000)",uint16,"(0, 65535)","(203, 4095)",524.6432405,499.0,0.002136978908118589,697.1015625,256867,3743133,6.4216750000000005
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile52.tif","(2000, 2000)",uint16,"(0, 65535)","(271, 4041)",532.52821,509.0,0.002155317224146089,705.43359375,231588,3768412,5.7897
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile53.tif","(2000, 2000)",uint16,"(0, 65535)","(148, 4095)",500.44878175,464.0,0.0021012614915094574,664.501953125,401499,3598501,10.037475
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile54.tif","(2000, 2000)",uint16,"(0, 65535)","(162, 3549)",537.70599125,506.0,0.00216537969825518,591.990234375,1245592,2754408,31.1398
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile55.tif","(2000, 2000)",uint16,"(0, 65535)","(156, 4092)",585.2704545,586.0,0.002263971478603087,578.8125,2039445,1960555,50.986125
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile56.tif","(2000, 2000)",uint16,"(0, 65535)","(178, 4095)",625.19525725,600.0,0.002358971968961013,690.576171875,1135388,2864612,28.384700000000002
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile57.tif","(2000, 2000)",uint16,"(0, 65535)","(198, 4077)",612.59681075,567.0,0.0023242049732322954,1054.107421875,147696,3852304,3.6923999999999997
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile58.tif","(2000, 2000)",uint16,"(0, 65535)","(123, 4095)",750.061997,598.0,0.0026521996755944823,1527.1640625,264198,3735802,6.60495
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile59.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",111.951248,0.0,0.0009037380184180775,295.927734375,471511,3528489,11.787775
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile6.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 2128)",15.6836175,0.0,0.00045236658043296926,203.65625,151565,3848435,3.7891250000000003
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile60.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile61.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 299)",131.81803175,131.0,0.0006639276335279759,133.732421875,1758046,2241954,43.95115
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile62.tif","(2000, 2000)",uint16,"(0, 65535)","(27, 3805)",439.0941055,163.0,0.0018474276467128682,491.87109375,1664720,2335280,41.618
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile63.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 2406)",577.76146625,520.0,0.0022546377413678563,662.58984375,1040989,2959011,26.024725
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile64.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 3611)",384.3191315,418.0,0.0018625695480167126,232.740234375,3298609,701391,82.465225
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile65.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 2726)",391.097047,436.0,0.0018731615412734537,260.88671875,3147829,852171,78.69572500000001
